nome,endereco,latitude,longitude,cidade
Ventura Shopping,"R. Itacolomi, 292 - Portão, Curitiba",-25.4789071,-49.2951769,Curitiba
Shopping Itália,"R. Mal. Deodoro, 630 - Centro, Curitiba",-25.4302701,-49.2662489,Curitiba
Alto da XV Mall,"R. Camões, 601 - Alto da XV, Curitiba",-25.4252445,-49.2476302,Curitiba
Shopping Estação,"R. Rockefeller, 1450 - Rebouças, Curitiba",-25.4380876,-49.2654749,Curitiba
Express Mall Ucrânia,"R. Marcelino Champagnat, 779 - Mercês, Curitiba",-25.428985,-49.2938651,Curitiba
Shopping Crystal,"R. Comendador Araújo, 731 - Batel, Curitiba",-25.4390991,-49.2812969,Curitiba
Shopping Novo Batel,"R. Cel. Dulcídio, 517 - Batel, Curitiba",-25.4383786,-49.2836437,Curitiba
Shopping Pátio Batel,"Av. do Batel, 1868 - Batel, Curitiba",-25.4429295,-49.2908133,Curitiba
Street Mall 376,"Rod. Br 376, 1965 - Cruzeiro, São José dos Pinhais",-25.5392055,-49.1913697,Curitiba
Colombo Park Shopping,"R. Dorval Ceccon, 664 - Jardim Nossa Sra. de Fatima, Colombo",-25.360724,-49.184093,Curitiba
Express Mall Champagnat,"R. Martim Afonso, 2910 - Bigorrilho, Curitiba",-25.4358596,-49.30514520000001,Curitiba
Building Parking Shopping Boa Vista,"R. do Giriquiti, 48 - Boa Vista, Recife",-8.0596141,-34.8870462,Jaboatão dos Guararapes
Paulista North Way Shopping,"Rodovia 15 - KM 16,5, nº242 - Centro, Paulista",-7.9383233,-34.8775792,Jaboatão dos Guararapes
Shopping Recife,"R. Padre Carapuceiro, 777 - Boa Viagem, Recife",-8.1190456,-34.9046689,Jaboatão dos Guararapes
Shopping Tacaruna,"Shopping Tacaruna - Av. Gov. Agamenon Magalhães, 153 - Santo Amaro, Recife",-8.0380567,-34.8717367,Jaboatão dos Guararapes
Shopping Guararapes,"Av. Barreto de Menezes, 800 - Piedade, Jaboatão dos Guararapes",-8.168335899999999,-34.9192099,Jaboatão dos Guararapes
The Garden Open Mall,"Av. Bernardo Vieira de Melo, 209 - Piedade, Jaboatão dos Guararapes",-8.1609987,-34.9129097,Jaboatão dos Guararapes
